2025-05-30T17:18:50.700+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'namedParameterJdbcTemplate'
2025-05-30T17:18:50.701+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'namedParameterJdbcTemplate' via factory method to bean named 'jdbcTemplate'
2025-05-30T17:18:50.703+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration'
2025-05-30T17:18:50.703+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.JdbcClientAutoConfiguration'
2025-05-30T17:18:50.703+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jdbcClient'
2025-05-30T17:18:50.704+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'jdbcClient' via factory method to bean named 'namedParameterJdbcTemplate'
2025-05-30T17:18:50.704+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.security.config.annotation.web.configuration.WebSecurityConfiguration'
2025-05-30T17:18:50.712+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'delegatingApplicationListener'
2025-05-30T17:18:50.712+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springSecurityFilterChain'
2025-05-30T17:18:50.716+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webSecurityExpressionHandler'
